                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.71405,                0.63611,                 1.1903,                0.71225,                0.00412,                0.01461,                0.01315,                    nan,                    nan,                    nan,             0.00050404,             0.00050404,             0.00050404
                     38,                0.69987,                0.60354,                 1.1677,                0.14286,                0.00412,                0.07349,                0.06859,                    nan,                    nan,                    nan,             0.00049279,             0.00049279,             0.00049279
                     39,                0.69165,                0.60625,                   1.17,                0.56937,                0.00412,                0.02688,                0.02597,                    nan,                    nan,                    nan,             0.00048154,             0.00048154,             0.00048154
                     40,                0.68917,                   0.59,                 1.1664,                0.14088,                0.00412,                0.03354,                0.03124,                    nan,                    nan,                    nan,             0.00047029,             0.00047029,             0.00047029
                     41,                0.65946,                0.59511,                 1.1481,                0.14286,                0.00412,                0.07349,                0.06859,                    nan,                    nan,                    nan,             0.00045904,             0.00045904,             0.00045904
                     42,                0.64101,                0.54533,                 1.1389,                0.14286,                0.00412,                0.07349,                0.07102,                    nan,                    nan,                    nan,              0.0004478,              0.0004478,              0.0004478
                     43,                0.63695,                0.52969,                 1.1348,                0.14286,                0.00412,                0.07349,                0.06856,                    nan,                    nan,                    nan,             0.00043655,             0.00043655,             0.00043655
                     44,                0.63643,                0.53024,                 1.1359,                0.14081,                0.00412,                0.05601,                0.05223,                    nan,                    nan,                    nan,              0.0004253,              0.0004253,              0.0004253
                     45,                0.63361,                0.52171,                 1.1266,                0.14286,                0.00412,                0.07349,                0.07106,                    nan,                    nan,                    nan,             0.00041405,             0.00041405,             0.00041405
                     46,                0.61041,                0.50038,                 1.1189,                0.56855,                0.00412,                0.02979,                0.02874,                    nan,                    nan,                    nan,              0.0004028,              0.0004028,              0.0004028
                     47,                0.60688,                 0.4984,                 1.1079,                0.14286,                0.00412,                0.07349,                0.07349,                    nan,                    nan,                    nan,             0.00039155,             0.00039155,             0.00039155
                     48,                0.59669,                0.48838,                 1.1117,                0.14286,                0.00412,                0.07349,                0.07349,                    nan,                    nan,                    nan,              0.0003803,              0.0003803,              0.0003803
                     49,                0.58872,                0.46805,                 1.0942,                0.71233,                0.00412,                0.05601,                0.05601,                    nan,                    nan,                    nan,             0.00036905,             0.00036905,             0.00036905
                     50,                0.58216,                0.46791,                 1.0956,                0.42656,                0.00412,                0.04552,                0.04401,                    nan,                    nan,                    nan,             0.00035781,             0.00035781,             0.00035781
