                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81668,                0.81005,                 1.2803,                0.42508,                0.00412,                0.01311,                0.01214,                    nan,                    nan,                    nan,             0.00058503,             0.00058503,             0.00058503
                     38,                0.80258,                 0.7859,                 1.2706,                0.56933,                0.00412,                 0.0108,                0.01043,                    nan,                    nan,                    nan,             0.00057603,             0.00057603,             0.00057603
                     39,                0.80054,                0.78658,                 1.2675,                0.28341,                0.00412,                0.03354,                0.03242,                    nan,                    nan,                    nan,             0.00056703,             0.00056703,             0.00056703
                     40,                 0.7764,                 0.7435,                 1.2585,                0.42628,                0.00412,                0.01855,                0.01728,                    nan,                    nan,                    nan,             0.00055804,             0.00055804,             0.00055804
                     41,                0.77485,                0.74319,                 1.2502,                0.42621,                0.00412,                0.02264,                0.02264,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                     42,                0.75992,                0.72683,                 1.2463,                0.71206,                0.00412,                0.03853,                0.03468,                    nan,                    nan,                    nan,             0.00054004,             0.00054004,             0.00054004
                     43,                0.76234,                 0.7198,                 1.2466,                0.42655,                0.00412,                0.05601,                0.05222,                    nan,                    nan,                    nan,             0.00053104,             0.00053104,             0.00053104
                     44,                0.75142,                0.71856,                 1.2417,                0.28323,                0.00412,                0.01971,                0.01832,                    nan,                    nan,                    nan,             0.00052204,             0.00052204,             0.00052204
                     45,                0.76121,                0.72987,                 1.2395,                  0.855,                0.00412,                0.03853,                0.03594,                    nan,                    nan,                    nan,             0.00051304,             0.00051304,             0.00051304
                     46,                0.74735,                0.70134,                 1.2329,                0.71201,                0.00412,                0.01755,                0.01635,                    nan,                    nan,                    nan,             0.00050404,             0.00050404,             0.00050404
                     47,                0.73413,                0.72698,                 1.2246,                 0.4265,                0.00412,                0.04552,                0.04247,                    nan,                    nan,                    nan,             0.00049504,             0.00049504,             0.00049504
                     48,                0.74136,                0.68728,                 1.2262,                0.42642,                0.00412,                0.05601,                0.05223,                    nan,                    nan,                    nan,             0.00048604,             0.00048604,             0.00048604
                     49,                0.72713,                0.67376,                 1.2214,                0.14286,                0.00412,                0.07349,                0.06614,                    nan,                    nan,                    nan,             0.00047704,             0.00047704,             0.00047704
                     50,                0.72169,                0.65008,                 1.2138,                0.14063,                0.00412,                0.04552,                0.04394,                    nan,                    nan,                    nan,             0.00046804,             0.00046804,             0.00046804
                     51,                0.70999,                0.64834,                 1.2115,                0.14286,                0.00412,                0.07349,                0.06856,                    nan,                    nan,                    nan,             0.00045904,             0.00045904,             0.00045904
                     52,                0.71595,                0.65712,                  1.211,                0.28354,                0.00412,                0.05601,                0.05408,                    nan,                    nan,                    nan,             0.00045005,             0.00045005,             0.00045005
                     53,                0.70875,                0.63289,                 1.2074,                0.14286,                0.00412,                0.07349,                0.06856,                    nan,                    nan,                    nan,             0.00044105,             0.00044105,             0.00044105
                     54,                0.68596,                0.60373,                 1.1861,                0.14286,                0.00412,                0.07349,                0.07102,                    nan,                    nan,                    nan,             0.00043205,             0.00043205,             0.00043205
