                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1781,                 2.2066,                 1.5509,                0.89888,                0.00412,                0.00378,                0.00088,                    nan,                    nan,                    nan,             0.00030239,             0.00030239,             0.00030239
                      2,                  1.379,                 2.0806,                 1.7142,                0.90557,                0.00412,                 0.0041,                0.00242,                    nan,                    nan,                    nan,              0.0005994,              0.0005994,              0.0005994
                      3,                 1.4022,                 2.0845,                 1.7297,                0.66769,                0.00412,                0.00665,                0.00466,                    nan,                    nan,                    nan,              0.0008904,              0.0008904,              0.0008904
                      4,                 1.3814,                 1.9528,                 1.7052,                0.99498,                0.00412,                0.00557,                 0.0048,                    nan,                    nan,                    nan,               0.000882,               0.000882,               0.000882
                      5,                 1.3168,                 1.7764,                 1.6491,                0.93499,                0.00412,                0.00559,                 0.0033,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                      6,                 1.2585,                 1.6428,                 1.6081,                0.99457,                0.00412,                0.01971,                0.01639,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                      7,                 1.1926,                 1.5352,                 1.5442,                0.98826,                0.00412,                0.00834,                0.00686,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                      8,                  1.162,                 1.4963,                 1.5266,                0.99076,                0.00412,                0.01406,                0.01053,                    nan,                    nan,                    nan,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.1228,                 1.3935,                 1.4981,                0.85444,                0.00412,                0.01971,                0.01897,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.0886,                 1.3417,                 1.4717,                0.99534,                0.00412,                0.00956,                0.00854,                    nan,                    nan,                    nan,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.0588,                 1.2339,                 1.4372,                0.85458,                0.00412,                0.00869,                0.00664,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.0394,                 1.2063,                 1.4337,                0.99745,                0.00412,                0.01106,                 0.0099,                    nan,                    nan,                    nan,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.0193,                 1.1561,                 1.4099,                0.99715,                0.00412,                0.02688,                0.02415,                    nan,                    nan,                    nan,             0.00080101,             0.00080101,             0.00080101
                     14,                0.98693,                 1.1043,                 1.3907,                0.85111,                0.00412,                0.01755,                0.01514,                    nan,                    nan,                    nan,             0.00079201,             0.00079201,             0.00079201
                     15,                0.97792,                 1.1067,                 1.3927,                0.99785,                0.00412,                0.01311,                0.01134,                    nan,                    nan,                    nan,             0.00078301,             0.00078301,             0.00078301
                     16,                0.96449,                 1.0517,                 1.3717,                 0.8548,                0.00412,                0.01855,                0.01665,                    nan,                    nan,                    nan,             0.00077401,             0.00077401,             0.00077401
                     17,                0.94455,                 1.0344,                 1.3613,                0.56907,                0.00412,                0.01056,                0.00982,                    nan,                    nan,                    nan,             0.00076501,             0.00076501,             0.00076501
                     18,                0.95765,                 1.0133,                 1.3706,                0.99777,                0.00412,                0.03354,                0.03237,                    nan,                    nan,                    nan,             0.00075602,             0.00075602,             0.00075602
                     19,                0.91124,                0.96663,                 1.3282,                0.71218,                0.00412,                0.03853,                0.03468,                    nan,                    nan,                    nan,             0.00074702,             0.00074702,             0.00074702
                     20,                0.90128,                0.93699,                 1.3187,                0.71055,                0.00412,                0.01971,                0.01774,                    nan,                    nan,                    nan,             0.00073802,             0.00073802,             0.00073802
                     21,                 0.8757,                0.91981,                 1.3068,                0.28368,                0.00412,                0.01855,                0.01728,                    nan,                    nan,                    nan,             0.00072902,             0.00072902,             0.00072902
                     22,                0.88816,                0.90088,                 1.3193,                0.85412,                0.00412,                0.02979,                0.02778,                    nan,                    nan,                    nan,             0.00072002,             0.00072002,             0.00072002
                     23,                0.86373,                 0.8653,                 1.2931,                0.56922,                0.00412,                0.04552,                0.04401,                    nan,                    nan,                    nan,             0.00071102,             0.00071102,             0.00071102
                     24,                0.86066,                0.84379,                 1.2886,                0.71196,                0.00412,                0.02455,                0.02209,                    nan,                    nan,                    nan,             0.00070202,             0.00070202,             0.00070202
                     25,                0.85395,                0.83987,                  1.284,                0.71212,                0.00412,                0.01668,                0.01501,                    nan,                    nan,                    nan,             0.00069302,             0.00069302,             0.00069302
                     26,                0.83181,                0.81439,                 1.2695,                0.42658,                0.00412,                0.04552,                0.04401,                    nan,                    nan,                    nan,             0.00068402,             0.00068402,             0.00068402
                     27,                0.81964,                0.79877,                 1.2648,                0.42632,                0.00412,                0.02688,                0.02502,                    nan,                    nan,                    nan,             0.00067502,             0.00067502,             0.00067502
                     28,                0.81588,                0.76606,                 1.2614,                0.14286,                0.00412,                0.07349,                0.06856,                    nan,                    nan,                    nan,             0.00066602,             0.00066602,             0.00066602
                     29,                0.79661,                0.78707,                 1.2579,                0.14286,                0.00412,                0.07349,                0.06859,                    nan,                    nan,                    nan,             0.00065703,             0.00065703,             0.00065703
                     30,                  0.796,                0.76743,                 1.2542,                 0.7105,                0.00412,                0.01755,                0.01755,                    nan,                    nan,                    nan,             0.00064803,             0.00064803,             0.00064803
                     31,                0.79601,                0.74274,                 1.2402,                0.14286,                0.00412,                0.07349,                0.06614,                    nan,                    nan,                    nan,             0.00063903,             0.00063903,             0.00063903
                     32,                 0.7842,                0.72073,                 1.2403,                0.85509,                0.00412,                0.04552,                0.04247,                    nan,                    nan,                    nan,             0.00063003,             0.00063003,             0.00063003
                     33,                0.76298,                0.71314,                 1.2224,                0.42621,                0.00412,                0.01855,                0.01728,                    nan,                    nan,                    nan,             0.00062103,             0.00062103,             0.00062103
                     34,                0.76575,                 0.7022,                 1.2289,                0.71214,                0.00412,                0.02979,                0.02774,                    nan,                    nan,                    nan,             0.00061203,             0.00061203,             0.00061203
                     35,                0.76276,                0.69666,                 1.2196,                0.28357,                0.00412,                0.02979,                0.02773,                    nan,                    nan,                    nan,             0.00060303,             0.00060303,             0.00060303
                     36,                0.76172,                0.69221,                  1.222,                0.28352,                0.00412,                0.03853,                0.03334,                    nan,                    nan,                    nan,             0.00059403,             0.00059403,             0.00059403
                     37,                0.74458,                0.65661,                 1.2046,                0.14085,                0.00412,                0.05601,                0.05408,                    nan,                    nan,                    nan,             0.00058503,             0.00058503,             0.00058503
                     38,                0.73871,                0.66837,                 1.2052,                 0.4262,                0.00412,                0.04552,                0.04097,                    nan,                    nan,                    nan,             0.00057603,             0.00057603,             0.00057603
                     39,                0.73049,                0.65089,                 1.1947,                0.14286,                0.00412,                0.07349,                0.06859,                    nan,                    nan,                    nan,             0.00056703,             0.00056703,             0.00056703
                     40,                0.71053,                0.61814,                 1.1836,                0.14073,                0.00412,                0.02105,                0.02029,                    nan,                    nan,                    nan,             0.00055804,             0.00055804,             0.00055804
                     41,                0.71503,                0.61882,                 1.1765,                0.42653,                0.00412,                0.02688,                0.02593,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                     42,                0.70402,                0.62859,                 1.1819,                 0.2837,                0.00412,                0.02105,                0.01953,                    nan,                    nan,                    nan,             0.00054004,             0.00054004,             0.00054004
                     43,                0.71359,                0.62797,                 1.1868,                0.42369,                0.00412,                0.02688,                0.02505,                    nan,                    nan,                    nan,             0.00053104,             0.00053104,             0.00053104
                     44,                0.68492,                0.58993,                 1.1679,                0.42656,                0.00412,                0.05601,                0.05041,                    nan,                    nan,                    nan,             0.00052204,             0.00052204,             0.00052204
