                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4682,                 2.7347,                 1.8541,                0.56323,                0.21506,                0.16439,                0.07718,                    nan,                    nan,                    nan,             0.00030269,             0.00030269,             0.00030269
                      2,                  1.665,                  2.845,                 2.0117,                 0.3471,                0.24498,                0.16883,                0.07486,                    nan,                    nan,                    nan,              0.0005997,              0.0005997,              0.0005997
                      3,                 1.6598,                 2.7378,                 1.9988,                0.24543,                0.36059,                0.19795,                 0.0953,                    nan,                    nan,                    nan,              0.0008907,              0.0008907,              0.0008907
                      4,                 1.5735,                 2.5818,                 1.9345,                0.49079,                0.34702,                0.36296,                0.20695,                    nan,                    nan,                    nan,               0.000882,               0.000882,               0.000882
                      5,                 1.4936,                 2.3863,                   1.85,                0.58888,                0.34071,                0.41078,                0.25657,                    nan,                    nan,                    nan,               0.000873,               0.000873,               0.000873
                      6,                 1.4414,                 2.2621,                 1.8163,                0.62869,                0.40896,                0.42422,                0.25154,                    nan,                    nan,                    nan,               0.000864,               0.000864,               0.000864
                      7,                 1.3571,                 2.0785,                 1.7424,                0.46593,                0.46483,                0.44715,                0.29572,                    nan,                    nan,                    nan,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.3167,                 2.0431,                 1.7147,                0.65178,                0.45309,                0.49852,                0.33197,                    nan,                    nan,                    nan,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.2966,                 1.9305,                 1.7019,                0.72022,                0.46495,                0.52354,                 0.3404,                    nan,                    nan,                    nan,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.2382,                 1.8587,                 1.6557,                0.64219,                0.49016,                0.52972,                0.36886,                    nan,                    nan,                    nan,             0.00082801,             0.00082801,             0.00082801
                     11,                 1.2344,                 1.7862,                 1.6549,                0.71917,                0.48036,                0.52667,                0.36334,                    nan,                    nan,                    nan,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.1897,                 1.7496,                 1.6178,                 0.6547,                0.50845,                0.54333,                0.37889,                    nan,                    nan,                    nan,             0.00081001,             0.00081001,             0.00081001
